RR.ms,1,2,3,QT,,,,,RR.ms,1,2,3,QT
620,318.554,317.424,315.165,317.0476667,,,,,620,318.554,317.424,315.165,317.0477
620,295.679,293.138,298.221,295.6793333,,,,,620,295.679,293.138,298.221,295.6793
NA,,,,#DIV/0!,,,,,NA,,,,#DIV/0!
660,294.832,292.29,293.985,293.7023333,,,,,660,294.832,292.29,293.985,293.7023
730,301.61,299.068,299.068,299.9153333,,,,,730,301.61,299.068,299.068,299.9153
NA,,,,#DIV/0!,,,,,NA,,,,#DIV/0!
NA,,,,#DIV/0!,,,,,NA,,,,#DIV/0!
690,308.387,303.869,307.258,306.5046667,,,,,690,308.387,303.869,307.258,306.5047
710,318.554,318.554,315.165,317.4243333,,,,,710,318.554,318.554,315.165,317.4243
NA,,,,#DIV/0!,,,,,NA,,,,#DIV/0!
NA,,,,#DIV/0!,,,,,NA,,,,#DIV/0!
NA,,,,#DIV/0!,,,,,NA,,,,#DIV/0!
NA,,,,#DIV/0!,,,,,NA,,,,#DIV/0!
NA,,,,#DIV/0!,,,,,NA,,,,#DIV/0!
NA,,,,#DIV/0!,,,,,NA,,,,#DIV/0!
